               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10469,            0.018083,            0.037106,             0.52429,             0.06705,            0.065946,            0.019292,            0.081578,            0.016745,            0.023921,            0.070545,           0.0032727,           0.0032727
                   1,            0.074064,             0.01989,            0.020771,              0.3759,             0.33511,             0.16546,            0.057889,            0.073117,             0.01257,            0.014303,            0.040415,           0.0064753,           0.0064753
                   2,            0.067938,            0.016769,            0.014725,             0.31934,             0.61136,             0.34016,              0.1142,            0.068566,            0.010679,            0.008497,            0.010152,           0.0095458,           0.0095458
                   3,            0.059641,            0.014421,           0.0097503,             0.62621,             0.69981,             0.66144,             0.27708,            0.055573,           0.0090795,           0.0059783,            0.009406,            0.009406,            0.009406
                   4,            0.052636,            0.013371,           0.0072323,             0.69657,             0.72823,             0.74404,             0.34336,            0.052481,           0.0080356,           0.0042065,            0.009406,            0.009406,            0.009406
                   5,              0.0468,            0.011521,           0.0061819,             0.69652,             0.73968,             0.73908,              0.3861,            0.044722,           0.0075147,           0.0038537,            0.009208,            0.009208,            0.009208
                   6,            0.044522,            0.010928,           0.0052179,             0.70127,             0.79999,             0.75691,             0.37454,            0.042768,           0.0071123,           0.0037553,             0.00901,             0.00901,             0.00901
                   7,             0.04107,            0.010011,           0.0050244,              0.8351,             0.82597,             0.84808,             0.53378,            0.032036,           0.0066757,           0.0034067,            0.008812,            0.008812,            0.008812
                   8,            0.040127,           0.0097741,           0.0038842,             0.86996,             0.83687,             0.87978,             0.53412,            0.031796,           0.0063662,           0.0031135,            0.008614,            0.008614,            0.008614
                   9,             0.03683,           0.0093189,           0.0037364,             0.78527,             0.83973,             0.86477,             0.53795,            0.032547,            0.006161,           0.0029003,            0.008416,            0.008416,            0.008416
                  10,            0.035173,           0.0091788,           0.0035454,             0.92779,              0.8484,             0.91492,             0.59785,            0.029287,           0.0058067,           0.0028337,            0.008218,            0.008218,            0.008218
                  11,            0.034545,           0.0088615,           0.0034709,             0.85144,             0.86455,             0.89057,             0.49482,            0.031705,           0.0056332,           0.0025392,             0.00802,             0.00802,             0.00802
                  12,            0.034411,           0.0089115,           0.0032457,              0.9465,             0.89068,             0.92516,             0.59027,            0.027427,           0.0055207,           0.0024138,            0.007822,            0.007822,            0.007822
                  13,            0.032408,           0.0082686,           0.0030166,             0.90978,             0.88325,             0.92196,             0.62147,            0.025611,           0.0054613,           0.0024103,            0.007624,            0.007624,            0.007624
                  14,            0.031542,           0.0084801,           0.0027733,             0.91481,             0.88223,             0.92768,             0.57422,            0.029707,           0.0054073,           0.0022265,            0.007426,            0.007426,            0.007426
                  15,            0.030685,           0.0085453,           0.0027582,             0.95526,             0.88607,             0.94162,             0.65078,            0.022182,           0.0052549,           0.0022437,            0.007228,            0.007228,            0.007228
                  16,             0.02938,           0.0079297,           0.0026749,             0.94403,             0.89438,             0.94969,             0.65028,            0.025264,           0.0051463,           0.0021834,             0.00703,             0.00703,             0.00703
                  17,            0.028958,           0.0079231,           0.0026657,             0.95214,             0.90226,             0.93963,             0.67075,            0.021603,            0.004997,           0.0021123,            0.006832,            0.006832,            0.006832
                  18,            0.027313,           0.0076349,           0.0023364,             0.95864,             0.90907,             0.94748,             0.61727,            0.023989,           0.0050105,           0.0019324,            0.006634,            0.006634,            0.006634
                  19,            0.027848,           0.0075413,            0.002365,             0.96286,             0.90838,             0.94355,             0.63597,            0.022768,           0.0048159,           0.0018755,            0.006436,            0.006436,            0.006436
                  20,            0.026663,           0.0075868,           0.0022974,             0.97475,             0.90839,             0.95697,             0.67796,            0.022685,            0.004805,           0.0017603,            0.006238,            0.006238,            0.006238
                  21,             0.02633,            0.007486,           0.0021946,             0.94596,             0.92155,             0.94699,             0.66832,            0.021218,           0.0046999,           0.0019007,             0.00604,             0.00604,             0.00604
                  22,            0.026692,           0.0073298,           0.0020816,             0.96924,             0.92094,             0.95876,             0.69616,            0.021927,            0.004723,           0.0016594,            0.005842,            0.005842,            0.005842
                  23,            0.025454,           0.0072229,           0.0019593,             0.96153,             0.92011,             0.95532,             0.68196,              0.0207,           0.0045647,           0.0015854,            0.005644,            0.005644,            0.005644
                  24,             0.02459,           0.0073796,           0.0020495,             0.98004,             0.92468,             0.96216,             0.71901,            0.019367,           0.0044834,           0.0015731,            0.005446,            0.005446,            0.005446
